date,game_pk,game_number,sport,market,match,away_team_name,home_team_name,total_line,over_price,under_price,final_total_runs,result,paired_bucket,paired_winning_side,paired_over_bucket_plus_or_minus,paired_under_bucket_plus_or_minus,source_pull_time,polymarket_event_slug,polymarket_market_slug,polymarket_market_id,over_token_id,under_token_id,polymarket_event_url
2026-04-19,825018,1,MLB,Game Total O/U,Chicago White Sox @ Athletics,Chicago White Sox,Athletics,9.5,46.5,53.5,11,Over,Over 45-50 / Under 50-55,Over,Over 45-50 +,Under 50-55 -,03:00 ET history nearest over=2026-04-19T07:00:44.000Z under=2026-04-19T07:00:55.000Z,mlb-cws-oak-2026-04-19,mlb-cws-oak-2026-04-19-total-9pt5,2016115,77107942319646225295423172642774049101404643140885049911383670421716052898260,101491690090529769948952876039587827167055310902956169300195665607764208810111,https://polymarket.us/event/mlb-cws-oak-2026-04-19
2026-04-19,823718,1,MLB,Game Total O/U,Cincinnati Reds @ Minnesota Twins,Cincinnati Reds,Minnesota Twins,7.5,55.5,44.5,11,Over,Over 55-60 / Under 40-45,Over,Over 55-60 +,Under 40-45 -,03:00 ET history nearest over=2026-04-19T07:00:52.000Z under=2026-04-19T07:00:34.000Z,mlb-cin-min-2026-04-19,mlb-cin-min-2026-04-19-total-7pt5,2015813,9567298469018282887185123098871190021754488085526836884977198546813140475566,19266293295859698373555345334665115730025046647757423545470813463533573020303,https://polymarket.us/event/mlb-cin-min-2026-04-19
2026-04-19,823718,1,MLB,Game Total O/U,Cincinnati Reds @ Minnesota Twins,Cincinnati Reds,Minnesota Twins,8.5,46.5,53.5,11,Over,Over 45-50 / Under 50-55,Over,Over 45-50 +,Under 50-55 -,03:00 ET history nearest over=2026-04-19T07:00:35.000Z under=2026-04-19T07:00:55.000Z,mlb-cin-min-2026-04-19,mlb-cin-min-2026-04-19-total-8pt5,2016118,65353178558364099205513700253518043749606527600700908864345693293992118083900,99547277645824131310547699230970832834960548822383990961302190499851013264618,https://polymarket.us/event/mlb-cin-min-2026-04-19
2026-04-19,824777,1,MLB,Game Total O/U,Detroit Tigers @ Boston Red Sox,Detroit Tigers,Boston Red Sox,7.5,44.5,55.5,8,Over,Over 40-45 / Under 55-60,Over,Over 40-45 +,Under 55-60 -,03:00 ET history nearest over=2026-04-19T07:00:38.000Z under=2026-04-19T07:00:44.000Z,mlb-det-bos-2026-04-19,mlb-det-bos-2026-04-19-total-7pt5,2015827,72221199535186566899133899242976106255242693019673238759248766692016168461813,50558795821476676015007881811366517662775453835286120087482808162166478354456,https://polymarket.us/event/mlb-det-bos-2026-04-19
2026-04-19,823556,1,MLB,Game Total O/U,Kansas City Royals @ New York Yankees,Kansas City Royals,New York Yankees,7.5,52,48,7,Under,Over 50-55 / Under 45-50,Under,Over 50-55 -,Under 45-50 +,03:00 ET history nearest over=2026-04-19T07:00:41.000Z under=2026-04-19T07:00:41.000Z,mlb-kc-nyy-2026-04-19,mlb-kc-nyy-2026-04-19-total-7pt5,2016122,58317837607224683006095504987319890694377029197957246580357507779617635409377,21195776261074929632038238501006981700273804993071602169060873230450269248237,https://polymarket.us/event/mlb-kc-nyy-2026-04-19
2026-04-19,823556,1,MLB,Game Total O/U,Kansas City Royals @ New York Yankees,Kansas City Royals,New York Yankees,8.5,43.5,56.5,7,Under,Over 40-45 / Under 55-60,Under,Over 40-45 -,Under 55-60 +,03:00 ET history nearest over=2026-04-19T07:00:54.000Z under=2026-04-19T07:00:38.000Z,mlb-kc-nyy-2026-04-19,mlb-kc-nyy-2026-04-19-total-8pt5,2015825,44293737811156226923377601859490860615177483603508997498950536985173152811669,108988109052075728856423041582247568241715301938980824393559771162733765217139,https://polymarket.us/event/mlb-kc-nyy-2026-04-19
2026-04-19,823881,1,MLB,Game Total O/U,Milwaukee Brewers @ Miami Marlins,Milwaukee Brewers,Miami Marlins,7.5,51.5,48.5,8,Over,Over 50-55 / Under 45-50,Over,Over 50-55 +,Under 45-50 -,03:00 ET history nearest over=2026-04-19T07:00:46.000Z under=2026-04-19T07:00:52.000Z,mlb-mil-mia-2026-04-19,mlb-mil-mia-2026-04-19-total-7pt5,2016119,84481443777111881371726367914174219864674357870325928298201427687266764921346,41610940780857556396127705588868058323256683089275849896558854208179269387189,https://polymarket.us/event/mlb-mil-mia-2026-04-19
2026-04-19,823881,1,MLB,Game Total O/U,Milwaukee Brewers @ Miami Marlins,Milwaukee Brewers,Miami Marlins,8.5,44.5,55.5,8,Under,Over 40-45 / Under 55-60,Under,Over 40-45 -,Under 55-60 +,03:00 ET history nearest over=2026-04-19T07:00:34.000Z under=2026-04-19T07:00:45.000Z,mlb-mil-mia-2026-04-19,mlb-mil-mia-2026-04-19-total-8pt5,2015817,107097934742204231715452085875283893963779713298321873976128219428774263458189,25985824121337209858232342087436723269673543044261883785926015679395789892510,https://polymarket.us/event/mlb-mil-mia-2026-04-19
2026-04-19,824691,1,MLB,Game Total O/U,New York Mets @ Chicago Cubs,New York Mets,Chicago Cubs,8.5,47.5,52.5,3,Under,Over 45-50 / Under 50-55,Under,Over 45-50 -,Under 50-55 +,03:00 ET history nearest over=2026-04-19T07:00:34.000Z under=2026-04-19T07:00:43.000Z,mlb-nym-chc-2026-04-19,mlb-nym-chc-2026-04-19-total-8pt5,2016117,60281679513104750266787511060375186563692272524838296751612475989829028301003,115084119439850951622848574299604042889597527941687437187565679351566829825266,https://polymarket.us/event/mlb-nym-chc-2026-04-19
2026-04-19,824047,1,MLB,Game Total O/U,San Diego Padres @ Los Angeles Angels,San Diego Padres,Los Angeles Angels,8.5,50.5,49.5,3,Under,Over 50-55 / Under 45-50,Under,Over 50-55 -,Under 45-50 +,03:00 ET history nearest over=2026-04-19T07:00:46.000Z under=2026-04-19T07:00:37.000Z,mlb-sd-laa-2026-04-19,mlb-sd-laa-2026-04-19-total-8pt5,2016114,43143041593486447335676699124772851889495686775781386627260576487178352463819,40231625904407947482365406121390731602429116222738448136442678751274941547816,https://polymarket.us/event/mlb-sd-laa-2026-04-19
